标题,链接,摘要
金庸先生逝世了，为什么我们会如此难过,http://zhuanlan.zhihu.com/p/48152024,金庸先生仙逝了。94岁。为什么我们会这么难过呢？ 94岁，按说算喜丧。当年小昭在地道里跟张无忌唱：“到头这一身，难逃那一日。受用了一朝，一朝便宜。百岁光阴，七十者稀。急急流年，滔滔逝水。”七十者稀啊。无崖子九十三岁，童姥九十六岁。 论作品，到19…
作为NBA球迷，得做好心理准备了,http://zhuanlan.zhihu.com/p/85531907,我没记错的话，国内最后一次看不到NBA转播，是1998-99季缩水赛季。那年圣安东尼奥马刺的夺冠历程，我是靠报纸、杂志和后来补录像带了解的。 在那之前，我看了几年的NBA直播。有些是CCTV，有些来自广东台。那会儿看球很不易，学生，往往周末才看得上一场完整…
让陶崇园死得不明不白的，到底是什么？,http://zhuanlan.zhihu.com/p/35329586,今天是清明节。谨此，向武汉已故的陶崇园表哀悼之情。——打上面这行字时，本想打“陶崇园同学”，再一想，大概他临终时最绝望的，便是无法摆脱<b>学生</b>这个身份吧？ 毕竟，有这个身份在一天，那位老师就未必放得过他。从何时起，学生这个身份，如此卑微了呢？ …
出走半生，关山万里，归来仍是少女心气,http://zhuanlan.zhihu.com/p/31621175,一个故事，不同讲法。我少时学《木兰辞》时，多赞美木兰代父从军，是为<b>孝顺</b>；保家卫国，是为<b>精忠</b>。美国人当年拍《花木兰》动画片，却重在男女平等，重在女性自立；最妙的情节，便是让木兰的同僚化妆成后宫宫女，解救天子。这是一个很好的冷幽默。但我别有一…
记住就是一切,http://zhuanlan.zhihu.com/p/27892176,我小学六年级时，学校为了冲刺当时市里最好的一所初中，组织了个提高班——该初中当时有九成概率进无锡市一中，无锡市一中又是百分百本科七成一本率的高中，乃是当时全市学校用来冲业绩的好所在。 学校拣选了年级里成绩最好的24位，搁进提高班里，放学后另…
如果本届世界杯影响了姚明为中国男篮谋的大局……,http://zhuanlan.zhihu.com/p/81724677,中国队输给尼日利亚了。这么说有点奇怪，但只看内容，这是中国队本届世界杯，两场好比赛之一——另一场是打波兰的前39分钟。像打韩国，虽然赢了，但那份磨叽，也不提了。 上一场后提过，<b>打球果断</b>的重要性。中国队套路，无论是钻石还是牛角，都好在进攻选项…
最燃的时刻……莫过于变成超级赛亚人吧,http://zhuanlan.zhihu.com/p/37514182,我估计，在我有生之年，被问到“看过最燃的一幕漫画是什么”时，我还是会说：“悟空变成超级赛亚人的瞬间。”想一想，为什么呢？大概是稀有吧？到后来，《龙珠》里超级赛亚人遍地跑，发型和光焰随意变，甚至头发颜色也从黑变金从金变赤橙黄绿青蓝紫时，那美…
南京大屠杀逝者30万，抗日战争逝者1800万，二战逝者7000万：这就是他妈的战争,http://zhuanlan.zhihu.com/p/31990877,今天是，南京大屠杀死难者国家公祭日。八十年前的今日，南京，侵华日军开始那臭名昭著的屠杀纵掠。 去年此时，写过的话：对1937年的事，记住南京大屠杀，记住侵华日军曾经犯下过的反人类战争罪行，记住战争的可怕，记住不加约束的人性可以多么扭曲。我个人…
低端帮会也配留在武林？我江湖自有规矩在此,http://zhuanlan.zhihu.com/p/31700692,“师父，为啥那些姑娘女侠刚和我语笑晏晏，一听说我是巨鲸帮的，立刻就翻个白眼？” “傻孩子，报啥帮名儿啊，以后就说你是海上游迹的一介少年浪子，最爱读麦尔维尔的《白鲸》，喜欢闻龙涎香与海风混合的味道。姑娘们立刻扑你怀里。” “怎么，我混帮派还丢…
习惯一个人自由自在——这种状态正常吗？,http://zhuanlan.zhihu.com/p/45813754,2004年秋天，我升大三，领了一笔版税，寻思租房住。找租房中介，在大学附近的所在看房子，看中了一处单间，租了。当时房间里，一张棕棚床，一张桌子，两张椅子，一个衣柜而已。房东走后，我躺在床上看天花板，觉得自己自由了——以前，在家里住，在宿舍住，…
